region,title,link,published,channel
US,Gelman Remembers Regis Philbin,https://www.youtube.com/watch?v=eliVjkSNiiU,2020-07-27T18:16:37+00:00,LiveKellyandMark
US,Kelly and Ryan Remember Regis Philbin,https://www.youtube.com/watch?v=0MLq86kTCh4,2020-07-27T17:55:52+00:00,LiveKellyandMark
US,Tom Hanks And Rita Wilson Suffered Completely Different Covid-19 Symptoms,https://www.youtube.com/watch?v=-GZmDWsUSBg,2020-07-15T08:52:09+00:00,The Late Show with Stephen Colbert
US,Jackie Chan's Hilarious Story of Meeting The Queen | The Graham Norton Show,https://www.youtube.com/watch?v=kkt4BBLAZck,2020-07-04T16:00:21+00:00,The Graham Norton Show
US,Try Not to Laugh Challenge with BLACKPINK,https://www.youtube.com/watch?v=xZu8bckoIno,2020-06-27T04:06:01+00:00,The Tonight Show Starring Jimmy Fallon
US,Jon Stewart: The New Deal And GI Bill Explicitly Excluded Black People,https://www.youtube.com/watch?v=iLSeQ3t6RHQ,2020-06-25T07:35:00+00:00,The Late Show with Stephen Colbert
US,"Hasan Minhaj: To Enjoy America's Successes, We Have To Own Its Failures",https://www.youtube.com/watch?v=NRl_tpv_UJI,2020-06-17T07:35:00+00:00,The Late Show with Stephen Colbert
US,'The View' Addresses ABC News Executive Placed on Leave Over Alleged Racist Comments | The View,https://www.youtube.com/watch?v=hf3iE81xa2M,2020-06-15T16:57:57+00:00,The View
US,RuPaul writes his own question. Gets #1 answer! | Celebrity Family Feud,https://www.youtube.com/watch?v=s2JLkXCPIW8,2020-06-15T01:19:48+00:00,Family Feud
US,America Protests Police Brutality and Systemic Racism | The Daily Social Distancing Show,https://www.youtube.com/watch?v=YknhztcrURY,2020-06-09T03:55:05+00:00,The Daily Show
US,The Blind Auditions: Johnny Manuel Sings 'Home' | The Voice Australia 2020,https://www.youtube.com/watch?v=RKXIhcUwkhg,2020-06-07T12:00:11+00:00,The Voice Australia
US,New Rule: The Blue Wall of Silence | Real Time with Bill Maher (HBO),https://www.youtube.com/watch?v=cv5vFT9FmkM,2020-06-06T02:57:23+00:00,Real Time with Bill Maher
US,James Corden Gets a Lesson on White Privilege,https://www.youtube.com/watch?v=BUB3MGWT3xo,2020-06-05T06:07:57+00:00,The Late Late Show with James Corden
IN,Gelman Remembers Regis Philbin,https://www.youtube.com/watch?v=eliVjkSNiiU,2020-07-27T18:16:37+00:00,LiveKellyandMark
IN,Kelly and Ryan Remember Regis Philbin,https://www.youtube.com/watch?v=0MLq86kTCh4,2020-07-27T17:55:52+00:00,LiveKellyandMark
IN,Tom Hanks And Rita Wilson Suffered Completely Different Covid-19 Symptoms,https://www.youtube.com/watch?v=-GZmDWsUSBg,2020-07-15T08:52:09+00:00,The Late Show with Stephen Colbert
IN,Jackie Chan's Hilarious Story of Meeting The Queen | The Graham Norton Show,https://www.youtube.com/watch?v=kkt4BBLAZck,2020-07-04T16:00:21+00:00,The Graham Norton Show
IN,Try Not to Laugh Challenge with BLACKPINK,https://www.youtube.com/watch?v=xZu8bckoIno,2020-06-27T04:06:01+00:00,The Tonight Show Starring Jimmy Fallon
IN,Jon Stewart: The New Deal And GI Bill Explicitly Excluded Black People,https://www.youtube.com/watch?v=iLSeQ3t6RHQ,2020-06-25T07:35:00+00:00,The Late Show with Stephen Colbert
IN,"Hasan Minhaj: To Enjoy America's Successes, We Have To Own Its Failures",https://www.youtube.com/watch?v=NRl_tpv_UJI,2020-06-17T07:35:00+00:00,The Late Show with Stephen Colbert
IN,'The View' Addresses ABC News Executive Placed on Leave Over Alleged Racist Comments | The View,https://www.youtube.com/watch?v=hf3iE81xa2M,2020-06-15T16:57:57+00:00,The View
IN,RuPaul writes his own question. Gets #1 answer! | Celebrity Family Feud,https://www.youtube.com/watch?v=s2JLkXCPIW8,2020-06-15T01:19:48+00:00,Family Feud
IN,America Protests Police Brutality and Systemic Racism | The Daily Social Distancing Show,https://www.youtube.com/watch?v=YknhztcrURY,2020-06-09T03:55:05+00:00,The Daily Show
IN,The Blind Auditions: Johnny Manuel Sings 'Home' | The Voice Australia 2020,https://www.youtube.com/watch?v=RKXIhcUwkhg,2020-06-07T12:00:11+00:00,The Voice Australia
IN,New Rule: The Blue Wall of Silence | Real Time with Bill Maher (HBO),https://www.youtube.com/watch?v=cv5vFT9FmkM,2020-06-06T02:57:23+00:00,Real Time with Bill Maher
IN,James Corden Gets a Lesson on White Privilege,https://www.youtube.com/watch?v=BUB3MGWT3xo,2020-06-05T06:07:57+00:00,The Late Late Show with James Corden
BR,Gelman Remembers Regis Philbin,https://www.youtube.com/watch?v=eliVjkSNiiU,2020-07-27T18:16:37+00:00,LiveKellyandMark
BR,Kelly and Ryan Remember Regis Philbin,https://www.youtube.com/watch?v=0MLq86kTCh4,2020-07-27T17:55:52+00:00,LiveKellyandMark
BR,Tom Hanks And Rita Wilson Suffered Completely Different Covid-19 Symptoms,https://www.youtube.com/watch?v=-GZmDWsUSBg,2020-07-15T08:52:09+00:00,The Late Show with Stephen Colbert
BR,Jackie Chan's Hilarious Story of Meeting The Queen | The Graham Norton Show,https://www.youtube.com/watch?v=kkt4BBLAZck,2020-07-04T16:00:21+00:00,The Graham Norton Show
BR,Try Not to Laugh Challenge with BLACKPINK,https://www.youtube.com/watch?v=xZu8bckoIno,2020-06-27T04:06:01+00:00,The Tonight Show Starring Jimmy Fallon
BR,Jon Stewart: The New Deal And GI Bill Explicitly Excluded Black People,https://www.youtube.com/watch?v=iLSeQ3t6RHQ,2020-06-25T07:35:00+00:00,The Late Show with Stephen Colbert
BR,"Hasan Minhaj: To Enjoy America's Successes, We Have To Own Its Failures",https://www.youtube.com/watch?v=NRl_tpv_UJI,2020-06-17T07:35:00+00:00,The Late Show with Stephen Colbert
BR,'The View' Addresses ABC News Executive Placed on Leave Over Alleged Racist Comments | The View,https://www.youtube.com/watch?v=hf3iE81xa2M,2020-06-15T16:57:57+00:00,The View
BR,RuPaul writes his own question. Gets #1 answer! | Celebrity Family Feud,https://www.youtube.com/watch?v=s2JLkXCPIW8,2020-06-15T01:19:48+00:00,Family Feud
BR,America Protests Police Brutality and Systemic Racism | The Daily Social Distancing Show,https://www.youtube.com/watch?v=YknhztcrURY,2020-06-09T03:55:05+00:00,The Daily Show
BR,The Blind Auditions: Johnny Manuel Sings 'Home' | The Voice Australia 2020,https://www.youtube.com/watch?v=RKXIhcUwkhg,2020-06-07T12:00:11+00:00,The Voice Australia
BR,New Rule: The Blue Wall of Silence | Real Time with Bill Maher (HBO),https://www.youtube.com/watch?v=cv5vFT9FmkM,2020-06-06T02:57:23+00:00,Real Time with Bill Maher
BR,James Corden Gets a Lesson on White Privilege,https://www.youtube.com/watch?v=BUB3MGWT3xo,2020-06-05T06:07:57+00:00,The Late Late Show with James Corden
FR,Gelman Remembers Regis Philbin,https://www.youtube.com/watch?v=eliVjkSNiiU,2020-07-27T18:16:37+00:00,LiveKellyandMark
FR,Kelly and Ryan Remember Regis Philbin,https://www.youtube.com/watch?v=0MLq86kTCh4,2020-07-27T17:55:52+00:00,LiveKellyandMark
FR,Tom Hanks And Rita Wilson Suffered Completely Different Covid-19 Symptoms,https://www.youtube.com/watch?v=-GZmDWsUSBg,2020-07-15T08:52:09+00:00,The Late Show with Stephen Colbert
FR,Jackie Chan's Hilarious Story of Meeting The Queen | The Graham Norton Show,https://www.youtube.com/watch?v=kkt4BBLAZck,2020-07-04T16:00:21+00:00,The Graham Norton Show
FR,Try Not to Laugh Challenge with BLACKPINK,https://www.youtube.com/watch?v=xZu8bckoIno,2020-06-27T04:06:01+00:00,The Tonight Show Starring Jimmy Fallon
FR,Jon Stewart: The New Deal And GI Bill Explicitly Excluded Black People,https://www.youtube.com/watch?v=iLSeQ3t6RHQ,2020-06-25T07:35:00+00:00,The Late Show with Stephen Colbert
FR,"Hasan Minhaj: To Enjoy America's Successes, We Have To Own Its Failures",https://www.youtube.com/watch?v=NRl_tpv_UJI,2020-06-17T07:35:00+00:00,The Late Show with Stephen Colbert
FR,'The View' Addresses ABC News Executive Placed on Leave Over Alleged Racist Comments | The View,https://www.youtube.com/watch?v=hf3iE81xa2M,2020-06-15T16:57:57+00:00,The View
FR,RuPaul writes his own question. Gets #1 answer! | Celebrity Family Feud,https://www.youtube.com/watch?v=s2JLkXCPIW8,2020-06-15T01:19:48+00:00,Family Feud
FR,America Protests Police Brutality and Systemic Racism | The Daily Social Distancing Show,https://www.youtube.com/watch?v=YknhztcrURY,2020-06-09T03:55:05+00:00,The Daily Show
FR,The Blind Auditions: Johnny Manuel Sings 'Home' | The Voice Australia 2020,https://www.youtube.com/watch?v=RKXIhcUwkhg,2020-06-07T12:00:11+00:00,The Voice Australia
FR,New Rule: The Blue Wall of Silence | Real Time with Bill Maher (HBO),https://www.youtube.com/watch?v=cv5vFT9FmkM,2020-06-06T02:57:23+00:00,Real Time with Bill Maher
FR,James Corden Gets a Lesson on White Privilege,https://www.youtube.com/watch?v=BUB3MGWT3xo,2020-06-05T06:07:57+00:00,The Late Late Show with James Corden
DE,Gelman Remembers Regis Philbin,https://www.youtube.com/watch?v=eliVjkSNiiU,2020-07-27T18:16:37+00:00,LiveKellyandMark
DE,Kelly and Ryan Remember Regis Philbin,https://www.youtube.com/watch?v=0MLq86kTCh4,2020-07-27T17:55:52+00:00,LiveKellyandMark
DE,Tom Hanks And Rita Wilson Suffered Completely Different Covid-19 Symptoms,https://www.youtube.com/watch?v=-GZmDWsUSBg,2020-07-15T08:52:09+00:00,The Late Show with Stephen Colbert
DE,Jackie Chan's Hilarious Story of Meeting The Queen | The Graham Norton Show,https://www.youtube.com/watch?v=kkt4BBLAZck,2020-07-04T16:00:21+00:00,The Graham Norton Show
DE,Try Not to Laugh Challenge with BLACKPINK,https://www.youtube.com/watch?v=xZu8bckoIno,2020-06-27T04:06:01+00:00,The Tonight Show Starring Jimmy Fallon
DE,Jon Stewart: The New Deal And GI Bill Explicitly Excluded Black People,https://www.youtube.com/watch?v=iLSeQ3t6RHQ,2020-06-25T07:35:00+00:00,The Late Show with Stephen Colbert
DE,"Hasan Minhaj: To Enjoy America's Successes, We Have To Own Its Failures",https://www.youtube.com/watch?v=NRl_tpv_UJI,2020-06-17T07:35:00+00:00,The Late Show with Stephen Colbert
DE,'The View' Addresses ABC News Executive Placed on Leave Over Alleged Racist Comments | The View,https://www.youtube.com/watch?v=hf3iE81xa2M,2020-06-15T16:57:57+00:00,The View
DE,RuPaul writes his own question. Gets #1 answer! | Celebrity Family Feud,https://www.youtube.com/watch?v=s2JLkXCPIW8,2020-06-15T01:19:48+00:00,Family Feud
DE,America Protests Police Brutality and Systemic Racism | The Daily Social Distancing Show,https://www.youtube.com/watch?v=YknhztcrURY,2020-06-09T03:55:05+00:00,The Daily Show
DE,The Blind Auditions: Johnny Manuel Sings 'Home' | The Voice Australia 2020,https://www.youtube.com/watch?v=RKXIhcUwkhg,2020-06-07T12:00:11+00:00,The Voice Australia
DE,New Rule: The Blue Wall of Silence | Real Time with Bill Maher (HBO),https://www.youtube.com/watch?v=cv5vFT9FmkM,2020-06-06T02:57:23+00:00,Real Time with Bill Maher
DE,James Corden Gets a Lesson on White Privilege,https://www.youtube.com/watch?v=BUB3MGWT3xo,2020-06-05T06:07:57+00:00,The Late Late Show with James Corden
